artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,ID,Gender,Age,Country,Genres,Followers,URI
Dennis Lloyd,Nevermind,156600,FALSE,2017,74,0.6,0.688,5,-8.339,0,0.201,0.159,1.29E-05,0.409,0.0793,99.977,pop,3EOEK57CV77D4ovYVcmiyt,male,27,IL,['israeli pop'],661620,spotify:artist:3EOEK57CV77D4ovYVcmiyt
5 Seconds of Summer,Youngblood,203417,FALSE,2018,69,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,pop,5Rl15oVamLq7FbSb0NNBNy,mixed,9,AU,"['boy band', 'pop']",9825640,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
Tyga,Rack City,203200,TRUE,2012,61,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96E-05,0.187,0.273,98.986,"hip hop, pop",5LHRHt1k9lMyONurDHEdrp,male,30,US,"['hip hop', 'pop rap', 'rap', 'trap']",6958506,spotify:artist:5LHRHt1k9lMyONurDHEdrp
Lorde,Royals,190185,FALSE,2013,77,0.674,0.428,7,-9.504,1,0.122,0.121,0,0.132,0.337,84.878,"pop, Dance/Electronic",163tK9Wjr9P9DmM0AVK7lm,female,23,NZ,"['art pop', 'metropopolis', 'nz pop', 'pop']",10027736,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
Hugh Jackman,The Greatest Show,302146,FALSE,2017,72,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,easy listening,5F1aoppMtU3OMiltO8ymJ2,male,51,AU,"['hollywood', 'show tunes']",586289,spotify:artist:5F1aoppMtU3OMiltO8ymJ2
Ludacris,Get Back,270746,TRUE,2004,59,0.555,0.639,1,-5.16,1,0.263,0.0594,0,0.118,0.184,171.609,"hip hop, pop",3ipn9JLAPI5GUEo4y4jcoi,male,42,US,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2758032,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi
Ariana Grande,no tears left to cry,205920,FALSE,2018,77,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11E-06,0.294,0.354,121.993,pop,66CXWjxzNUsdJxJ2JdwvnR,female,27,US,['pop'],95710972,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
DMX,X Gon' Give It To Ya,217586,TRUE,2007,70,0.761,0.899,10,-3.09,0,0.183,0.0135,0,0.0719,0.673,95.027,"hip hop, pop",1HwM5zlC5qNWhJtM00yXzG,male,49,US,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",4796259,spotify:artist:1HwM5zlC5qNWhJtM00yXzG
Saweetie,My Type,126446,TRUE,2019,71,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,"hip hop, pop, R&B",6cK3NBO6uP7hh0oyuVELFl,female,27,US,"['cali rap', 'trap queen']",1991258,spotify:artist:6cK3NBO6uP7hh0oyuVELFl
Calvin Harris,My Way,219159,FALSE,2016,74,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69E-05,0.161,0.536,119.986,"hip hop, pop, Dance/Electronic",7CajNmpbOovFoOoasH2HaY,male,36,GB,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",23513482,spotify:artist:7CajNmpbOovFoOoasH2HaY
